firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo,source
"Эсенгул Байдалиевич","Исаков","В командировке","г.С-Петербург","15-16.04.2015г.","Т.Узакбаеву","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Эристина Азрет-Алиевна","Кочкарова","В командировке","г.С-Петербург","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Ирина Юрьевна","Карамушкина","В командировке","г.С-Петербург","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Галина Анатольевна","Скрипкина","В командировке","г.С-Петербург","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Каныбек","Осмоналиев","В командировке","г.С-Петербург","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Курманбек Сапарович","Дыйканбаев","В командировке","г.Баку","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Жылдызкан Айтибаевна","Джолдошева","В командировке","Республика Корея","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Сайдулла Канболотович","Нышанов","В командировке","Республика Корея","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Бөдөш Аманбаевна","Мамырова","В командировке","Китайская Народная Республика","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Улукбек Тойчубаевич","Кочкоров","В командировке","Китайская Народная Республика","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
